project_name_v1;country_v1;project_status_v1;total_emissions_v1;project_name_v2;country_v2;project_status_v2;producing_emissions_v2;short_term_emissions_v2;long_term_emissions_v2;total_emissions_v2;project_name_raw_v2;total_emissions_difference;new_carbon_bombs_status;has_started_since_v1;GEM_url
ACG (Azeri-Chirag-Guneshli Deep Water);Azerbaijan;operating;1.660265695;ACG (Azeri-Chirag-Guneshli Deep Water);Azerbaijan;producing, short_term_expansion;0.9844491928199999;0.03961482900000001;0.0;1.02406402182;ACG (Azeri-Chirag-Guneshli Deep Water), AZ;-0.6362016731800002;Still classified as carbon bomb;False;https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan)
Abqaiq;Saudi Arabia;operating;1.59282777;Abqaiq;Saudi Arabia;producing;2.7430574269999997;0.0;0.0;2.7430574269999997;Abqaiq, SA;1.1502296569999997;Still classified as carbon bomb;False;https://www.gem.wiki/Abqaiq_Oil_Field_(Saudi_Arabia)
Agha Jari;Iran;operating;1.563110231;Agha Jari;Iran;producing;2.00927765306;0.0;0.0;2.00927765306;Agha Jari, IR;0.4461674220599998;Still classified as carbon bomb;False;https://www.gem.wiki/Aghajari_Oil_Field_(Iran)
Ahwaz Asmari;Iran;operating;2.238284406;Ahwaz (Ahwaz Asmari);Iran;producing, short_term_expansion, long_term_expansion;1.52745697492;0.050668793999999996;0.030740274;1.60886604292;Ahwaz (Ahwaz Asmari), IR;-0.6294183630800001;Still classified as carbon bomb;False;https://www.gem.wiki/Ahvaz-Asmari_Oil_Field_(Iran)
Ahwaz Bangestan;Iran;operating;1.433911709;Ahwaz (Bangestan);Iran;producing, long_term_expansion;1.386105674766;0.0;0.252433854;1.638539528766;Ahwaz (Bangestan), IR;0.20462781976600009;Still classified as carbon bomb;False;https://www.gem.wiki/Ahvaz-Bangestan_Oil_Field_(Iran)
Al Khaleej Gas project;Qatar;operating;1.135307349;Al Khaleej Gas project;Qatar;producing;985.7221602;0.0;0.0;0.9857221602;Al Khaleej Gas project, QA;-0.14958518880000005;Now below 1 GtCO2 threshold;False;No informations available on GEM
Anadarko Shelf_Oklahoma;United States;operating;1.817826072;Anadarko Shelf_Oklahoma;United States;producing;381.72451304599997;0.0;0.0;0.38172451304599997;Anadarko Shelf_Oklahoma, US;-1.4361015589539998;Now below 1 GtCO2 threshold;False;No informations available on GEM
Arctic LNG 2 T1-3;Russia;not started;1.475579089;;;;;;;;;;No longer classified as carbon bomb;False;No informations available on GEM
Area 1 LNG (T1&T2);Mozambique;not started;1.006654597;Area 1 LNG (T1&T2);Mozambique;short_term_expansion;0.0;739.7260224424897;0.0;0.7397260224424898;Area 1 LNG (T1&T2), MZ;-0.2669285745575103;Now below 1 GtCO2 threshold;False;https://www.gem.wiki/Area_1_Gas_Block_(Mozambique)
Area-1 Future Phases;Mozambique;not started;1.022724356;Area-1 Future Phases;Mozambique;long_term_expansion;0.0;0.0;998.0630571806118;0.9980630571806118;Area-1 Future Phases, MZ;-0.024661298819388056;Now below 1 GtCO2 threshold;False;https://www.gem.wiki/Area_1_Gas_Block_(Mozambique)
