New_project_source_CB,Carbon_bomb_name_source_CB,Country_source_CB,Potential_GtCO2_source_CB,Fuel_type_source_CB,GEM_id_source_GEM,GEM_url_source_GEM,Latitude,Longitude,Latitude_longitude_operator_source,Operators_source_GEM,Parent_company_source_GEM,Multiple_unit_concerned_source_GEM,Carbon_bomb_description,Carbon_bomb_start_year,Country,Carbon_bomb_description_source,Carbon_bomb_start_year_source,Bomb_type,Suppliers_source_chatGPT,Insurers_source_chatGPT,Subcontractors_source_chatGPT,World_region
False,ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,Oil&Gas,OG0012912,https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan),40.21967,51.09767,GEM,Azerbaijan International Operating Company (AIOC),Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11.0%);Others (33.0%),,Azeri-Chirag-Guneshli (ACG) Deepwater Complex (Azəri-Çıraq-Günəşli) is an operating oil and gas complex in Azerbaijan.,1997,Azerbaijan,GEM,ChatGPT,Extraction,,,,Asia
False,Abqaiq,Saudi Arabia,1.59282777,Oil&Gas,OG0014119,https://www.gem.wiki/Abqaiq_Oil_Field_(Saudi_Arabia),26.1687,49.7841,GEM,Saudi Aramco,No informations on company (100.0%),,Abqaiq Field is an operating oil field in Saudi Arabia.,1946,,GEM,GEM,Extraction,,,,Asia
False,Afşin-Elbistan Coal Mine,Türkiye,4.08646,Coal,M0955,https://www.gem.wiki/Afşin-Elbistan_coal_mines,38.340685,37.082979,GEM,Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş,"Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) (100.0%)",,"The Afşin-Elbistan coal mines are a network of opencast and underground mines, operated by Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş. (Afşin Elbistan Electricity Production and Trade inc.) and owned by Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) with a capacity of 14 million tonnes per annum, in Kahramanmaraş, Turkey.",1984,,GEM,GEM,Extraction,,,,Asia
False,Agha Jari,Iran,1.563110231,Oil&Gas,OG0012187,https://www.gem.wiki/Aghajari_Oil_Field_(Iran),30.8312,49.7596,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),,Aghajari Field is an operating oil field in Iran.,1939,Iran,GEM,GEM,Extraction,,,,Asia
False,Ahwaz Asmari,Iran,2.238284406,Oil&Gas,OG0012129,https://www.gem.wiki/Ahvaz-Asmari_Oil_Field_(Iran),31.3118,48.8121,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),,Ahvaz-Asmari Field is an operating oil field in Iran.,1954,Iran,GEM,GEM,Extraction,,,,Asia
False,Ahwaz Bangestan,Iran,1.433911709,Oil&Gas,OG0012143,https://www.gem.wiki/Ahvaz-Bangestan_Oil_Field_(Iran),31.3118,48.8121,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),,Ahvaz-Bangestan Field is an operating oil field in Iran.,1954,Iran,GEM,GEM,Extraction,,,,Asia
False,Al Khaleej Gas project,Qatar,1.135307349,Oil&Gas,OG0012459,https://www.gem.wiki/Al_Khalij_Oil_and_Gas_Field_(Qatar),25.92298,52.69973,GEM,TotalEnergies E&P-Qatar,QatarEnergy (60.0%);TotalEnergies (40.0%),,Al Khalij Field is an operating oil and gas field in Qatar.,1997,Qatar,GEM,GEM,Extraction,,,,Asia
True,Alpha North Coal Mine,Australia,2.542806,Coal,M2491,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751,GEM,GVK Hancock,GVK Group (100.0%),," The Alpha West coal project is a proposed underground mine, to be operated by GVKHancock Coal, producing 24 million tonnes per annum, in the Galilee Basin, central Queensland, Australia.",,Australia,GEM,ChatGPT,Extraction,,,,Oceania
False,Anadarko Shelf_Oklahoma,United States,1.817826072,Oil&Gas,OG0014193;OG0014194;OG0014195;OG0014196;OG0014197;OG0014198;OG0014199;OG0014200;OG0014201;OG0014202;OG0014203;OG0014204,"https://www.gem.wiki/Friesian_(GC599)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Haley_(Lwr._Wolfcamp-Penn_Cons.)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States);https://www.gem.wiki/Heidelberg_(GC859)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Holstein_(GC644)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Hopkins_(GC627)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/K2_(GC562)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/King_Horn_Mt._(MC084)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Lucius_(KC875)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Marlin_(VK915)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States);https://www.gem.wiki/Phantom_(Wolfcamp)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States);https://www.gem.wiki/Sandbar_(Bone_Spring)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States);https://www.gem.wiki/TahitiCaeTong_(GC640)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",31.7366506,-103.5942519,GEM,Anadarko,No informations on company (100.0%),Friesian (GC599) - Anadarko;Haley (Lwr. Wolfcamp-Penn Cons.) - Anadarko;Heidelberg (GC859) - Anadarko;Holstein (GC644) - Anadarko;Hopkins (GC627) - Anadarko;K2 (GC562) - Anadarko;King/Horn Mt. (MC084) - Anadarko;Lucius (KC875) - Anadarko;Marlin (VK915) - Anadarko;Phantom (Wolfcamp) - Anadarko;Sandbar (Bone Spring) - Anadarko;Tahiti/Cae/Tong (GC640) - Anadarko,"Friesian (GC599) - Anadarko Asset is an operating oil and gas asset in the Gulf of Mexico in the United States. For all federal offshore assets, the asset name is based on the name of the field and the name of the operator.",1988,United States,GEM,ChatGPT,Extraction,,,,North America
True,Angren Coal Mine,Uzbekistan,2.4038,Coal,M1083,https://www.gem.wiki/Angren_coal_mine,41.036101,70.180128,GEM,Uzbekugol,Ministry of Finance of Uzbekistan (100.0%),,"Angren coal mine is a surface mine in Angren, Tashkent, Uzbekistan.",1990,Uzbekistan,GEM,ChatGPT,Extraction,,,,Asia
